rdfs:label,superclass,imicrobe label,mixs label,camera label,bco_dmo_short_name,hot_label,bco_dmo_definition
,chemical parameter,dissolved_organic_carbon_um,dissolved organic carbon,dissolved organic carbon  (uM),DOC,,
,chemical parameter,dissolved_organic_carbon_umol_kg,dissolved organic carbon,dissolved organic carbon  (umol/kg),,,
,chemical parameter,dissolved_organic_nitrogen_umol_kg,dissolved organic nitrogen,Dissolved Organic Nitrogen  (͍mol/kg),DON,,
,chemical parameter,dissolved_organic_phosphorus,,,DOP,,
dissolved oxygen,chemical parameter,dissolved_oxygen,dissolved oxygen,,O2,CTDOXY,
,chemical parameter,dissolved_oxygen,,,O2,OXYGEN,
,chemical parameter,dissolved_oxygen_nmol_kg,dissolved oxygen,dissolved oxygen  (nmol/kg),,,
,chemical parameter,dissolved_oxygen_umol_kg,dissolved oxygen,oxygen  (umol/Kg),,,
,chemical parameter,dissolved_oxygen_umol_kg,dissolved oxygen,dissolved oxygen  (umol/kg),,,
,chemical parameter,divinyl chlorophyll a,,,chl_a2,,
,chemical parameter,environmental_salinity,,,,,
experimental salinity,chemical parameter,experimental_salinity,,,,,
flourine,chemical parameter,fluorinef_um,flourine,,,,
,chemical parameter,fucoxanthin,,,fucox,,
glucose,chemical parameter,glucose_mg,,glucose  (mg),,,
,chemical parameter,h2_um,dissolved hydrogen,H2  (uM),,,
iron,chemical parameter,ironfe_um,,Iron(Fe)  (uM),,,
leucine,chemical parameter,leucine_umol_kg,,Leucine  (umol/kg),,,
lithium,chemical parameter,lithiumli_um,,Lithium(Li)  (uM),,,
,chemical parameter,low_level_nitrogen,,,LLN,,
,chemical parameter,low_level_phosphorus,,,LLP,,
,chemical parameter,lutein,,,lutein,,
magnesium,chemical parameter,magnesiummg_um,,Magnesium(Mg)  (uM),,,
manganese,chemical parameter,manganesemn_um,,Manganese(Mn)  (uM),,,
,chemical parameter,methane_um,methane,Methane  (uM),,,
molybdenum,chemical parameter,molybdenummo_um,,Molybdenum(Mo)  (uM),,,
,chemical parameter,monovinyl chlorophyll a,,,chl_a1,,
nitrate,chemical parameter,nitrate,nitrate,nitrate(NO3)  (͍mol/l),,,
nitrate and nitrite,chemical parameter,nitratenitrite_nmol_kg,,nitrate+nitrite  (nmol/kg),NO3_NO2,,
,chemical parameter,nitrateno3_um,nitrate,nitrate(NO3)  (uM),,,
,chemical parameter,nitrateno3_umol_l,nitrate,nitrate(NO3)  (umol/l),,,
,chemical parameter,nitrite_umol_l,nitrite,nitrite  (͍mol/l),NO2,,
nutrients DMSP,chemical parameter,nutrients_dmsp_nm,,nutrients/DMSP  (nM),,,
,chemical parameter,nutrients_nh4_microm,ammonium,nutrients/NH4  (microM),,,
nutrients NOx,chemical parameter,nutrients_nox_microm,,nutrients/NOx  (microM),,,
nutrients PO3,chemical parameter,nutrients_po3_microm,phosphate,nutrients/PO3  (microM),,,
nutrients PO4,chemical parameter,nutrients_po4_microm,phosphate,nutrients/PO4  (microM),,,
nutrients potassium phosphate,chemical parameter,nutrients_potassium_phosphate_um,,nutrients/potassium phosphate  (uM),,,
nutrients putrescine,chemical parameter,nutrients_putrescine_c4h12n2_nm,,nutrients/putrescine (C4H12N2)  (nM),,,
,chemical parameter,nutrients_so4_microm,sulfate,nutrients/SO4  (microM),,,
nutrients sodium nitrate,chemical parameter,nutrients_sodium_nitrate_um,,nutrients/sodium nitrate  (uM),,,
nutrients spermidine,chemical parameter,nutrients_spermidine_c7h19n3_nm,,nutrients/spermidine (C7H19N3)  (nM),,,
,chemical parameter,oxygen,oxygenation status of sample,oxygen,,,
,chemical parameter,oxygen_mass_um,dissolved oxygen,oxygen/mass  (uM),,,
,chemical parameter,oxygen_um,dissolved oxygen,oxygen  (uM),,,
,chemical parameter,oxygen_umol_kg,dissolved oxygen,oxygen  (umol/kg),O2_umol_kg,,
,chemical parameter,particulate_carbon_umol_kg,total particulate carbon,Particulate Carbon  (͍mol/kg),,,
,chemical parameter,particulate_nigrogen_umol_kg,particulate organic nitrogen,Particulate Nigrogen  (͍mol/Kg),,,
,chemical parameter,particulate_nitrogen_umol_kg,particulate organic nitrogen,Particulate Nitrogen  (͍mol/kg),,,
,chemical parameter,particulate_organic_carbon_umol_kg,particulate organic carbon,Particulate Organic Carbon  (umol/kg),,,
particulate phosphate,chemical parameter,particulate_phosphate_umol_kg,,Particulate Phosphate  (͍mol/kg),,,
,chemical parameter,particulate_silica,,,Si_part,,
,chemical parameter,peridinin,,,peridinin,,
,chemical parameter,ph,pH,pH,pH,,
,chemical parameter,ph,pH,pH  (null),,,
phosphate,chemical parameter,phosphate,phosphate,,PO4,,
,chemical parameter,phosphate_umol_kg,phosphate,phosphate  (umol/kg),,,
,chemical parameter,phosphate_umol_l,phosphate,phosphate  (͍mol/l),,,
,chemical parameter,phycoerythrin_10u,,,PE_10u,,
,chemical parameter,phycoerythrin_5u,,,PE_5u,,
,chemical parameter,phycoerythrin_point4u ,,,PE_point4u,,
,chemical parameter,poc,particulate organic carbon,,,,
